			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			
Entire System	00:30:00	Car	46353	98.87	362689.47	7.82	65781.81	1.42	221350.03	4.78			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	531	1.13	5784.20	10.89	404.13	0.76	5652.02	10.64			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	46884	100.00	368971.12	7.87	66298.40	1.41	227264.92	4.85			Truck	2	N/A	497.50	248.75	112.45	56.23	262.92	131.46			
Greenville Ave Northbound	00:30:00	Car	3382	100.00	6676.50	1.97	1276.84	0.38	3307.76	0.98			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3382	100.00	6689.50	1.98	1278.64	0.38	3314.97	0.98			Truck	3	N/A	13.00	4.33	1.80	0.60	7.21	2.40			
Greenville Ave Southbound	00:30:00	Car	2445	100.00	5584.70	2.28	958.21	0.39	2919.22	1.19			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2445	100.00	5591.30	2.29	959.31	0.39	2922.64	1.20			Truck	4	N/A	6.60	1.65	1.10	0.27	3.42	0.86			
IH 635 Eastbound	00:30:00	Car	3159	100.00	13890.01	4.40	2157.25	0.68	13368.25	4.23			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3159	100.00	13890.01	4.40	2157.25	0.68	13368.25	4.23			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:30:00	Car	1881	100.00	6459.40	3.43	374.13	0.20	6905.41	3.67			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1881	100.00	6459.40	3.43	374.13	0.20	6905.41	3.67			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:30:00	Car	594	100.00	1978.60	3.33	107.75	0.18	2146.27	3.61			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	594	100.00	1978.60	3.33	107.75	0.18	2146.27	3.61			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:30:00	Car	749	100.00	2732.00	3.65	173.26	0.23	2910.04	3.89			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	749	100.00	2732.00	3.65	173.26	0.23	2910.04	3.89			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:30:00	Car	9419	100.00	17049.01	1.81	6272.01	0.67	7308.84	0.78			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9419	100.00	17069.11	1.81	6280.43	0.67	7317.05	0.78			Truck	11	N/A	20.10	1.83	8.42	0.77	8.20	0.75			
US 75 Frontage Rd Southbound	00:30:00	Car	9307	100.00	14747.20	1.58	3063.04	0.33	7732.88	0.83			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9307	100.00	14786.30	1.59	3069.65	0.33	7755.37	0.83			Truck	13	N/A	39.10	3.01	6.61	0.51	22.48	1.73			
